NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (m2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
UKK21,E06000028,Bournemouth,,No,194752,47168200,1,No,,,UK539C1,No,Bournemouth,UK539K1,No,Bournemouth,UK539L1,No,Bournemouth
UKK21,E06000029,Poole,,No,151270,74716200,1,No,,,UK555C1,No,Poole,UK539K1,No,Bournemouth,UK539L1,No,Bournemouth
UKK14,E06000030,Swindon,,No,220363,230093200,1,No,,,UK535C1,No,Swindon,,,,,,
UKH11,E06000031,Peterborough,,No,198914,343437900,1,No,,,UK545C1,No,Peterborough,,,,,,
UKH21,E06000032,Luton,,No,214658,43352500,1,No,,,UK532C1,No,Luton,,,,,,
UKH31,E06000033,Southend-on-Sea,,No,181808,67901100,1,No,,,UK541C1,No,Southend-on-Sea,UK541K1,No,Southend-on-Sea,UK001L3,No,London
UKH32,E06000034,Thurrock,,No,170394,184318000,1,No,,,UK032C1,No,Thurrock,,,,UK001L3,No,London
UKJ41,E06000035,Medway,,No,277616,269063700,1,No,,,UK513C1,No,Medway,,,,,,
UKJ11,E06000036,Bracknell Forest,,No,120377,109384300,1,No,,,UK573C1,No,Bracknell Forest,,,,,,
UKJ11,E06000037,West Berkshire,,No,158473,704169300,2,No,,,,,,,,,,,
UKJ11,E06000038,Reading,,No,163075,40397900,1,No,,,UK552C1,No,Reading,UK552K1,No,Reading,UK552L0,No,Reading
UKJ11,E06000039,Slough,,No,148768,32541900,1,No,,,UK567C1,No,Slough,,,,,,
UKJ11,E06000040,Windsor and Maidenhead,,No,150140,198427200,2,No,,,,,,,,,,,
UKJ11,E06000041,Wokingham,,No,164980,178965500,2,Yes,,,,,,UK552K1,No,Reading,UK552L0,No,Reading
UKJ12,E06000042,Milton Keynes,,No,267521,308626700,1,No,,,UK525C1,No,Milton Keynes,,,,,,
UKJ21,E06000043,Brighton and Hove,,No,288155,85376700,1,No,,,UK515C1,No,Brighton and Hove,UK515K1,No,Brighton and Hove,UK515L1,No,Brighton and Hove
UKJ31,E06000044,Portsmouth,,No,214718,60144500,1,No,,,UK023C1,No,Portsmouth,UK023K1,No,Portsmouth,UK023L1,No,Portsmouth
UKJ32,E06000045,Southampton,,No,252359,56385300,1,No,,,UK520C1,No,Southampton,UK520K1,No,Southampton,UK520L2,No,Southampton
UKJ34,E06000046,Isle of Wight,,No,140984,394928700,2,No,,,,,,,,,,,
UKC14,E06000047,County Durham,,No,523662,2232698600,2,No,,,,,,,,,,,
UKD62,E06000049,Cheshire East,,No,378846,1166357600,2,No,,,,,,,,,UK008L3,No,Greater Manchester
UKD63,E06000050,Cheshire West and Chester,,No,337986,941207100,1,No,,,UK568C2,No,Cheshire West and Chester,,,,UK568L1,No,Cheshire West and Chester
UKG22,E06000051,Shropshire,,No,317459,3197275700,2,No,,,,,,,,,,,
UKK30,E06000052,Cornwall,,No,561349,3613442300,2,No,,,,,,,,,,,
UKK30,E06000053,Isles of Scilly,,No,2259,22849500,3,No,,,,,,,,,,,
UKK15,E06000054,Wiltshire,,No,496043,3255338100,2,No,,,,,,,,,,,
UKH24,E06000055,Bedford,,No,169912,476408300,1,No,,,UK549C1,No,Bedford,,,,,,
UKH25,E06000056,Central Bedfordshire,,No,280030,715665400,2,No,,,,,,,,,,,
UKC21,E06000057,Northumberland,,No,319030,5078180300,2,No,,,,,,,,,UK013L2,No,Tyneside conurbation
UKJ13,E07000004,Aylesbury Vale,,No,196020,902753300,2,No,,,,,,,,,,,
UKJ13,E07000005,Chiltern,,No,95355,196348300,2,No,,,,,,,,,UK001L3,No,London
UKJ13,E07000006,South Bucks,,No,69785,141275500,2,No,,,,,,,,,UK001L3,No,London
UKJ13,E07000007,Wycombe,,No,174758,324572000,1,No,,,UK540C1,No,Wycombe,,,,,,
UKH12,E07000008,Cambridge,,No,124919,40698700,1,No,,,UK017C1,No,Cambridge,,,,UK017L2,No,Cambridge
UKH12,E07000009,East Cambridgeshire,,No,88858,651720300,2,No,,,,,,,,,UK017L2,No,Cambridge
UKH12,E07000010,Fenland,,No,100776,547355300,2,No,,,,,,,,,,,
UKH12,E07000011,Huntingdonshire,,No,176979,912545700,2,No,,,,,,,,,,,
UKH12,E07000012,South Cambridgeshire,,No,156705,901687200,3,No,,,,,,,,,UK017L2,No,Cambridge
UKD11,E07000026,Allerdale,,No,97213,1320563400,2,No,,,,,,,,,,,
UKD11,E07000027,Barrow-in-Furness,,No,67099,132063900,2,No,,,,,,,,,,,
UKD12,E07000028,Carlisle,,No,108274,1054358300,1,No,,,UK575C1,No,Carlisle,,,,,,
UKD11,E07000029,Copeland,,No,68689,775821300,2,No,,,,,,,,,,,
UKD12,E07000030,Eden,,No,52779,2156474500,3,No,,,,,,,,,,,
UKD12,E07000031,South Lakeland,,No,104321,1743191000,2,No,,,,,,,,,,,
UKF13,E07000032,Amber Valley,,No,125898,265437900,2,No,,,,,,,,,UK518L1,No,Derby
UKF12,E07000033,Bolsover,,No,79098,160334600,2,No,,,,,,,,,,,
UKF12,E07000034,Chesterfield,,No,104579,66035200,1,No,,,UK047C1,No,Chesterfield,,,,,,
UKF13,E07000035,Derbyshire Dales,,No,71849,795317800,3,No,,,,,,,,,,,
UKF13,E07000036,Erewash,,No,115314,109630100,2,No,,,,,,,,,UK029L1,No,Greater Nottingham
UKF13,E07000037,High Peak,,No,92063,540254100,2,No,,,,,,,,,UK008L3,No,Greater Manchester
UKF12,E07000038,North East Derbyshire,,No,100780,275623500,2,No,,,,,,,,,UK010L3,No,Sheffield
UKF13,E07000039,South Derbyshire,,No,102385,338129000,2,No,,,,,,,,,UK518L1,No,Derby
UKK43,E07000040,East Devon,,No,142265,823704400,2,No,,,,,,,,,UK018L3,No,Exeter
UKK43,E07000041,Exeter,,No,128916,47888500,1,No,,,UK018C1,No,Exeter,,,,UK018L3,No,Exeter
UKK43,E07000042,Mid Devon,,No,80623,912897800,3,No,,,,,,,,,UK018L3,No,Exeter
UKK43,E07000043,North Devon,,No,95440,1105045200,2,No,,,,,,,,,,,
UKK43,E07000044,South Hams,,No,85340,905248000,3,No,,,,,,,,,UK516L1,No,Plymouth
UKK43,E07000045,Teignbridge,,No,131437,681008100,2,No,,,,,,,,,UK018L3,No,Exeter
UKK43,E07000046,Torridge,,No,67821,995593300,2,No,,,,,,,,,,,
UKK43,E07000047,West Devon,,No,55329,1164717800,3,No,,,,,,,,,UK516L1,No,Plymouth
UKK22,E07000048,Christchurch,,No,49616,51695500,2,No,,,,,,,,,UK539L1,No,Bournemouth
UKK22,E07000049,East Dorset,,No,89384,354417900,2,No,,,,,,,,,UK539L1,No,Bournemouth
UKK22,E07000050,North Dorset,,No,71096,609217800,2,No,,,,,,,,,,,
UKK22,E07000051,Purbeck,,No,46756,427583900,2,No,,,,,,,,,UK539L1,No,Bournemouth
UKK22,E07000052,West Dorset,,No,102064,1087062100,3,No,,,,,,,,,,,
UKK22,E07000053,Weymouth and Portland,,No,65751,42996200,2,No,,,,,,,,,,,
UKJ22,E07000061,Eastbourne,,No,103251,45529000,1,No,,,UK055C1,No,Eastbourne,,,,,,
UKJ22,E07000062,Hastings,,No,92813,30831700,1,No,,,UK056C1,No,Hastings,,,,UK056L1,No,Hastings
UKJ22,E07000063,Lewes,,No,102257,294389300,2,No,,,,,,,,,UK515L1,No,Brighton and Hove
UKJ22,E07000064,Rother,,No,94997,518153300,2,No,,,,,,,,,UK056L1,No,Hastings
UKJ22,E07000065,Wealden,,No,158941,836265400,2,No,,,,,,,,,,,
UKH37,E07000066,Basildon,,No,184479,110445900,1,No,,,UK538C1,No,Basildon,,,,UK001L3,No,London
UKH34,E07000067,Braintree,,No,151677,611708100,2,No,,,,,,,,,,,
UKH36,E07000068,Brentwood,,No,76575,153124100,2,No,,,,,,,,,UK001L3,No,London
UKH37,E07000069,Castle Point,,No,89814,63698400,2,Yes,,,,,,UK541K1,No,Southend-on-Sea,UK001L3,No,London
UKH36,E07000070,Chelmsford,,No,176194,342997300,1,No,,,UK544C1,No,Chelmsford,,,,UK001L3,No,London
UKH34,E07000071,Colchester,,No,190098,346713300,1,No,,,UK546C1,No,Colchester,,,,UK546L1,No,Colchester
UKH35,E07000072,Epping Forest,,No,130576,338984200,2,No,,,,,,,,,UK001L3,No,London
UKH35,E07000073,Harlow,,No,86191,30537900,1,No,,,UK061C1,No,Harlow,,,,UK001L3,No,London
UKH36,E07000074,Maldon,,No,63975,426688600,2,No,,,,,,,,,,,
